Sector,Local.authority,year,leave_join,Homes_or_places,value
For-profit,NORTHAMPTONSHIRE,2020,Net change,Children's homes,5.0
For-profit,NORTHAMPTONSHIRE,2020,Entries,Places,18.0
For-profit,NORTHAMPTONSHIRE,2021,Exits,Children's homes,4.0
For-profit,NORTHAMPTONSHIRE,2021,Entries,Places,27.0
For-profit,NORTHUMBERLAND,2018,Entries,Places,5.0
For-profit,NORTHUMBERLAND,2018,Net change,Children's homes,2.0
For-profit,NORTHUMBERLAND,2022,Net change,Children's homes,0.0
For-profit,NORTHUMBERLAND,2020,Exits,Children's homes,6.0
For-profit,NORTHUMBERLAND,2022,Exits,Children's homes,1.0
For-profit,NORTHUMBERLAND,2018,Net change,Places,5.0
For-profit,NORTHUMBERLAND,2019,Entries,Children's homes,1.0
For-profit,NORTHUMBERLAND,2015,Exits,Children's homes,3.0
For-profit,NORTHUMBERLAND,2020,Entries,Children's homes,2.0
Local Authority,NORTHUMBERLAND,2015,Exits,Children's homes,3.0
For-profit,NORTHUMBERLAND,2019,Exits,Places,1.0
For-profit,NORTHUMBERLAND,2022,Net change,Places,-4.0
For-profit,NORTHUMBERLAND,2022,Entries,Children's homes,1.0
For-profit,NORTHUMBERLAND,2020,Exits,Places,11.0
For-profit,NORTHUMBERLAND,2018,Entries,Children's homes,2.0
For-profit,NORTHUMBERLAND,2019,Entries,Places,5.0
For-profit,NORTHUMBERLAND,2015,Exits,Places,4.0
For-profit,NORTHUMBERLAND,2020,Entries,Places,10.0
For-profit,NORTHUMBERLAND,2020,Net change,Children's homes,-4.0
For-profit,NORTHUMBERLAND,2019,Exits,Children's homes,2.0
For-profit,NORTHUMBERLAND,2019,Net change,Children's homes,-1.0
For-profit,NORTHUMBERLAND,2022,Exits,Places,8.0
For-profit,NORTHUMBERLAND,2020,Net change,Places,-1.0
For-profit,NORTHUMBERLAND,2019,Net change,Places,4.0
For-profit,NORTHUMBERLAND,2022,Entries,Places,4.0
Local Authority,NORTHUMBERLAND,2015,Exits,Places,3.0
For-profit,NOTTINGHAM,2018,Net change,Children's homes,2.0
For-profit,NOTTINGHAM,2018,Net change,Places,6.0
Local Authority,NOTTINGHAM,2018,Net change,Children's homes,1.0
For-profit,NOTTINGHAM,2019,Entries,Places,3.0
For-profit,NOTTINGHAM,2019,Entries,Children's homes,1.0
For-profit,NOTTINGHAM,2021,Net change,Places,4.0
For-profit,NOTTINGHAM,2022,Entries,Places,1.0
Local Authority,NOTTINGHAM,2018,Net change,Places,2.0
Third Sector,NOTTINGHAM,2018,Net change,Places,3.0
For-profit,NOTTINGHAM,2021,Entries,Places,4.0
Third Sector,NOTTINGHAM,2021,Net change,Children's homes,-1.0
For-profit,NOTTINGHAM,2020,Entries,Places,13.0
For-profit,NOTTINGHAM,2021,Net change,Children's homes,1.0
For-profit,NOTTINGHAM,2021,Entries,Children's homes,1.0
Third Sector,NOTTINGHAM,2018,Net change,Children's homes,1.0
Third Sector,NOTTINGHAM,2018,Entries,Places,3.0
For-profit,NOTTINGHAM,2019,Exits,Children's homes,3.0
Third Sector,NOTTINGHAM,2018,Entries,Children's homes,1.0
For-profit,NOTTINGHAM,2020,Entries,Children's homes,4.0
For-profit,NOTTINGHAM,2017,Entries,Places,30.0
For-profit,NOTTINGHAM,2016,Entries,Places,5.0
For-profit,NOTTINGHAM,2017,Net change,Children's homes,1.0
For-profit,NOTTINGHAM,2017,Net change,Places,16.0
Third Sector,NOTTINGHAM,2021,Exits,Places,2.0
For-profit,NOTTINGHAM,2019,Net change,Children's homes,-2.0
For-profit,NOTTINGHAM,2019,Net change,Places,0.0
Local Authority,NOTTINGHAM,2014,Exits,Places,0.0
Third Sector,NOTTINGHAM,2021,Exits,Children's homes,1.0
For-profit,NOTTINGHAM,2017,Entries,Children's homes,6.0
For-profit,NOTTINGHAM,2017,Exits,Places,14.0
Third Sector,NOTTINGHAM,2023,Net change,Places,-8.0
For-profit,NOTTINGHAM,2023,Net change,Places,0.0
Third Sector,NOTTINGHAM,2023,Exits,Places,8.0
For-profit,NOTTINGHAM,2017,Exits,Children's homes,5.0
Local Authority,NOTTINGHAM,2018,Entries,Children's homes,1.0
Third Sector,NOTTINGHAM,2023,Exits,Children's homes,3.0
For-profit,NOTTINGHAM,2023,Exits,Children's homes,1.0
For-profit,NOTTINGHAM,2022,Entries,Children's homes,1.0
Local Authority,NOTTINGHAM,2014,Exits,Children's homes,1.0
For-profit,NOTTINGHAM,2016,Entries,Children's homes,1.0
For-profit,NOTTINGHAM,2023,Entries,Places,3.0
Third Sector,NOTTINGHAM,2021,Net change,Places,-2.0
For-profit,NOTTINGHAM,2018,Entries,Places,6.0
For-profit,NOTTINGHAM,2023,Entries,Children's homes,1.0
Third Sector,NOTTINGHAM,2023,Net change,Children's homes,-3.0
For-profit,NOTTINGHAM,2018,Entries,Children's homes,2.0
For-profit,NOTTINGHAM,2020,Net change,Children's homes,4.0
For-profit,NOTTINGHAM,2020,Net change,Places,13.0
For-profit,NOTTINGHAM,2023,Net change,Children's homes,0.0
For-profit,NOTTINGHAM,2023,Exits,Places,3.0
For-profit,NOTTINGHAM,2022,Net change,Children's homes,1.0
For-profit,NOTTINGHAM,2022,Net change,Places,1.0
Local Authority,NOTTINGHAM,2018,Entries,Places,2.0
For-profit,NOTTINGHAM,2019,Exits,Places,3.0
For-profit,NOTTINGHAMSHIRE,2022,Exits,Places,1.0
For-profit,NOTTINGHAMSHIRE,2015,Exits,Children's homes,1.0
Third Sector,NOTTINGHAMSHIRE,2015,Exits,Children's homes,1.0
Third Sector,NOTTINGHAMSHIRE,2022,Entries,Children's homes,1.0
For-profit,NOTTINGHAMSHIRE,2018,Net change,Places,12.0
Third Sector,NOTTINGHAMSHIRE,2015,Exits,Places,0.0
For-profit,NOTTINGHAMSHIRE,2023,Net change,Children's homes,1.0
For-profit,NOTTINGHAMSHIRE,2018,Net change,Children's homes,3.0
For-profit,NOTTINGHAMSHIRE,2023,Net change,Places,3.0
Third Sector,NOTTINGHAMSHIRE,2022,Entries,Places,4.0
Third Sector,NOTTINGHAMSHIRE,2016,Entries,Children's homes,2.0
For-profit,NOTTINGHAMSHIRE,2015,Entries,Places,6.0
For-profit,NOTTINGHAMSHIRE,2015,Exits,Places,0.0
For-profit,NOTTINGHAMSHIRE,2021,Entries,Children's homes,7.0
For-profit,NOTTINGHAMSHIRE,2021,Exits,Places,5.0
Local Authority,NOTTINGHAMSHIRE,2020,Entries,Places,2.0
For-profit,NOTTINGHAMSHIRE,2018,Entries,Places,12.0
For-profit,NOTTINGHAMSHIRE,2019,Entries,Children's homes,7.0
For-profit,NOTTINGHAMSHIRE,2016,Entries,Children's homes,1.0
For-profit,NOTTINGHAMSHIRE,2017,Entries,Places,18.0
For-profit,NOTTINGHAMSHIRE,2023,Entries,Places,3.0
For-profit,NOTTINGHAMSHIRE,2022,Exits,Children's homes,1.0
For-profit,NOTTINGHAMSHIRE,2017,Net change,Children's homes,0.0
For-profit,NOTTINGHAMSHIRE,2017,Net change,Places,14.0
Local Authority,NOTTINGHAMSHIRE,2022,Net change,Children's homes,-2.0
For-profit,NOTTINGHAMSHIRE,2019,Net change,Children's homes,6.0
For-profit,NOTTINGHAMSHIRE,2019,Net change,Places,15.0
Local Authority,NOTTINGHAMSHIRE,2022,Net change,Places,-12.0
Third Sector,NOTTINGHAMSHIRE,2022,Net change,Places,4.0
For-profit,NOTTINGHAMSHIRE,2022,Net change,Places,20.0
Local Authority,NOTTINGHAMSHIRE,2022,Exits,Places,12.0
For-profit,NOTTINGHAMSHIRE,2015,Entries,Children's homes,1.0
For-profit,NOTTINGHAMSHIRE,2017,Entries,Children's homes,4.0
For-profit,NOTTINGHAMSHIRE,2022,Entries,Children's homes,7.0
For-profit,NOTTINGHAMSHIRE,2017,Exits,Places,4.0
For-profit,NOTTINGHAMSHIRE,2022,Net change,Children's homes,6.0
Third Sector,NOTTINGHAMSHIRE,2022,Net change,Children's homes,1.0
For-profit,NOTTINGHAMSHIRE,2017,Exits,Children's homes,4.0
For-profit,NOTTINGHAMSHIRE,2014,Exits,Children's homes,1.0
Local Authority,NOTTINGHAMSHIRE,2020,Net change,Places,2.0
For-profit,NOTTINGHAMSHIRE,2019,Exits,Places,6.0
Local Authority,NOTTINGHAMSHIRE,2020,Net change,Children's homes,1.0
For-profit,NOTTINGHAMSHIRE,2018,Entries,Children's homes,3.0
For-profit,NOTTINGHAMSHIRE,2021,Entries,Places,13.0
For-profit,NOTTINGHAMSHIRE,2019,Entries,Places,21.0
For-profit,NOTTINGHAMSHIRE,2016,Exits,Places,9.0
Local Authority,NOTTINGHAMSHIRE,2022,Exits,Children's homes,2.0
For-profit,NOTTINGHAMSHIRE,2021,Exits,Children's homes,5.0
For-profit,NOTTINGHAMSHIRE,2020,Entries,Places,3.0
For-profit,NOTTINGHAMSHIRE,2022,Entries,Places,21.0
For-profit,NOTTINGHAMSHIRE,2020,Net change,Children's homes,2.0
For-profit,NOTTINGHAMSHIRE,2019,Exits,Children's homes,1.0
Third Sector,NOTTINGHAMSHIRE,2016,Entries,Places,7.0
For-profit,NOTTINGHAMSHIRE,2020,Entries,Children's homes,2.0
For-profit,NOTTINGHAMSHIRE,2021,Net change,Children's homes,2.0
For-profit,NOTTINGHAMSHIRE,2021,Net change,Places,8.0
For-profit,NOTTINGHAMSHIRE,2023,Entries,Children's homes,1.0
For-profit,NOTTINGHAMSHIRE,2020,Net change,Places,3.0
For-profit,NOTTINGHAMSHIRE,2016,Exits,Children's homes,3.0
Local Authority,NOTTINGHAMSHIRE,2020,Entries,Children's homes,1.0
For-profit,NOTTINGHAMSHIRE,2016,Entries,Places,2.0
For-profit,NOTTINGHAMSHIRE,2014,Exits,Places,0.0
For-profit,OLDHAM,2021,Net change,Children's homes,-1.0
For-profit,OLDHAM,2021,Exits,Children's homes,3.0
For-profit,OLDHAM,2021,Net change,Places,1.0
For-profit,OLDHAM,2021,Exits,Places,4.0
For-profit,OLDHAM,2021,Entries,Children's homes,2.0
For-profit,OLDHAM,2021,Entries,Places,5.0
For-profit,OLDHAM,2019,Net change,Children's homes,1.0
For-profit,OLDHAM,2018,Exits,Places,6.0
For-profit,OLDHAM,2020,Entries,Children's homes,3.0
For-profit,OLDHAM,2020,Entries,Places,12.0
Local Authority,OLDHAM,2016,Exits,Children's homes,2.0
For-profit,OLDHAM,2019,Entries,Places,4.0
For-profit,OLDHAM,2017,Entries,Children's homes,2.0
For-profit,OLDHAM,2018,Net change,Children's homes,3.0
For-profit,OLDHAM,2020,Exits,Places,7.0
For-profit,OLDHAM,2017,Entries,Places,7.0
For-profit,OLDHAM,2017,Net change,Children's homes,2.0
For-profit,OLDHAM,2018,Exits,Children's homes,2.0
For-profit,OLDHAM,2023,Entries,Places,1.0
For-profit,OLDHAM,2019,Entries,Children's homes,1.0
For-profit,OLDHAM,2020,Exits,Children's homes,2.0
For-profit,OLDHAM,2018,Net change,Places,7.0
For-profit,OLDHAM,2023,Entries,Children's homes,1.0
For-profit,OLDHAM,2019,Net change,Places,4.0
For-profit,OLDHAM,2017,Net change,Places,7.0
For-profit,OLDHAM,2018,Entries,Children's homes,5.0
For-profit,OLDHAM,2023,Net change,Places,1.0
For-profit,OLDHAM,2023,Net change,Children's homes,1.0
For-profit,OLDHAM,2018,Entries,Places,13.0
For-profit,OLDHAM,2020,Net change,Children's homes,1.0
For-profit,OLDHAM,2020,Net change,Places,5.0
Local Authority,OLDHAM,2016,Exits,Places,4.0
For-profit,OXFORDSHIRE,2017,Entries,Children's homes,2.0
For-profit,OXFORDSHIRE,2019,Entries,Children's homes,1.0
For-profit,OXFORDSHIRE,2017,Net change,Places,-37.0
For-profit,OXFORDSHIRE,2017,Entries,Places,13.0
Local Authority,OXFORDSHIRE,2017,Net change,Children's homes,1.0
Third Sector,OXFORDSHIRE,2016,Exits,Places,8.0
For-profit,OXFORDSHIRE,2017,Net change,Children's homes,-2.0
For-profit,OXFORDSHIRE,2021,Entries,Places,17.0
For-profit,OXFORDSHIRE,2016,Entries,Places,13.0
For-profit,OXFORDSHIRE,2022,Entries,Places,8.0
For-profit,OXFORDSHIRE,2018,Entries,Places,31.0
For-profit,OXFORDSHIRE,2020,Net change,Children's homes,1.0
For-profit,OXFORDSHIRE,2018,Entries,Children's homes,1.0
For-profit,OXFORDSHIRE,2014,Exits,Children's homes,4.0
For-profit,OXFORDSHIRE,2020,Net change,Places,4.0
Local Authority,OXFORDSHIRE,2019,Exits,Places,6.0
Third Sector,OXFORDSHIRE,2016,Exits,Children's homes,2.0
Third Sector,OXFORDSHIRE,2019,Exits,Children's homes,2.0
Local Authority,OXFORDSHIRE,2016,Entries,Children's homes,1.0
For-profit,OXFORDSHIRE,2014,Exits,Places,0.0
For-profit,OXFORDSHIRE,2022,Entries,Children's homes,1.0
For-profit,OXFORDSHIRE,2021,Net change,Places,17.0
For-profit,OXFORDSHIRE,2021,Net change,Children's homes,5.0
Third Sector,OXFORDSHIRE,2019,Exits,Places,5.0
For-profit,OXFORDSHIRE,2019,Entries,Places,2.0
Local Authority,OXFORDSHIRE,2017,Net change,Places,6.0
Third Sector,OXFORDSHIRE,2019,Net change,Places,-5.0
For-profit,OXFORDSHIRE,2017,Exits,Children's homes,4.0
For-profit,OXFORDSHIRE,2020,Entries,Places,4.0
For-profit,OXFORDSHIRE,2021,Entries,Children's homes,5.0
For-profit,OXFORDSHIRE,2018,Net change,Places,31.0
For-profit,OXFORDSHIRE,2022,Net change,Places,5.0
Local Authority,OXFORDSHIRE,2019,Net change,Places,-6.0
For-profit,OXFORDSHIRE,2019,Net change,Places,2.0
For-profit,OXFORDSHIRE,2020,Entries,Children's homes,1.0
For-profit,OXFORDSHIRE,2022,Net change,Children's homes,0.0
Third Sector,OXFORDSHIRE,2019,Net change,Children's homes,-2.0
For-profit,OXFORDSHIRE,2017,Exits,Places,50.0
Local Authority,OXFORDSHIRE,2017,Entries,Places,6.0
Local Authority,OXFORDSHIRE,2019,Net change,Children's homes,-2.0
Local Authority,OXFORDSHIRE,2019,Exits,Children's homes,2.0
For-profit,OXFORDSHIRE,2018,Net change,Children's homes,1.0
For-profit,OXFORDSHIRE,2022,Exits,Children's homes,1.0
For-profit,OXFORDSHIRE,2022,Exits,Places,3.0
Local Authority,OXFORDSHIRE,2016,Entries,Places,6.0
For-profit,OXFORDSHIRE,2019,Net change,Children's homes,1.0
For-profit,OXFORDSHIRE,2016,Entries,Children's homes,2.0
Local Authority,OXFORDSHIRE,2017,Entries,Children's homes,1.0
For-profit,PETERBOROUGH,2018,Exits,Children's homes,2.0
For-profit,PETERBOROUGH,2021,Entries,Children's homes,4.0
For-profit,PETERBOROUGH,2015,Exits,Children's homes,1.0
For-profit,PETERBOROUGH,2018,Net change,Places,-3.0
For-profit,PETERBOROUGH,2020,Net change,Places,4.0
For-profit,PETERBOROUGH,2020,Net change,Children's homes,1.0
For-profit,PETERBOROUGH,2021,Exits,Places,4.0
For-profit,PETERBOROUGH,2014,Exits,Children's homes,1.0
For-profit,PETERBOROUGH,2022,Net change,Places,8.0
For-profit,PETERBOROUGH,2022,Net change,Children's homes,2.0
For-profit,PETERBOROUGH,2022,Entries,Places,8.0
For-profit,PETERBOROUGH,2019,Net change,Children's homes,2.0
Local Authority,PETERBOROUGH,2018,Net change,Children's homes,-2.0
For-profit,PETERBOROUGH,2016,Exits,Children's homes,1.0
For-profit,PETERBOROUGH,2021,Net change,Children's homes,2.0
For-profit,PETERBOROUGH,2022,Entries,Children's homes,2.0
For-profit,PETERBOROUGH,2019,Entries,Places,9.0
For-profit,PETERBOROUGH,2018,Exits,Places,3.0
For-profit,PETERBOROUGH,2015,Exits,Places,0.0
For-profit,PETERBOROUGH,2014,Exits,Places,0.0
For-profit,PETERBOROUGH,2019,Entries,Children's homes,2.0
For-profit,PETERBOROUGH,2018,Net change,Children's homes,-2.0
For-profit,PETERBOROUGH,2017,Net change,Children's homes,1.0
Local Authority,PETERBOROUGH,2018,Exits,Children's homes,2.0
Local Authority,PETERBOROUGH,2018,Net change,Places,-8.0
For-profit,PETERBOROUGH,2017,Entries,Places,5.0
For-profit,PETERBOROUGH,2020,Entries,Children's homes,1.0
For-profit,PETERBOROUGH,2017,Entries,Children's homes,1.0
For-profit,PETERBOROUGH,2021,Entries,Places,15.0
For-profit,PETERBOROUGH,2017,Net change,Places,5.0
For-profit,PETERBOROUGH,2019,Net change,Places,9.0
For-profit,PETERBOROUGH,2020,Entries,Places,4.0
For-profit,PETERBOROUGH,2016,Exits,Places,5.0
For-profit,PETERBOROUGH,2021,Exits,Children's homes,2.0
Local Authority,PETERBOROUGH,2018,Exits,Places,8.0
For-profit,PETERBOROUGH,2021,Net change,Places,11.0
For-profit,PLYMOUTH,2018,Net change,Children's homes,1.0
For-profit,PLYMOUTH,2020,Entries,Children's homes,2.0
For-profit,PLYMOUTH,2020,Net change,Children's homes,2.0
For-profit,PLYMOUTH,2017,Entries,Children's homes,3.0
For-profit,PLYMOUTH,2020,Net change,Places,5.0
For-profit,PLYMOUTH,2019,Entries,Places,2.0
Local Authority,PLYMOUTH,2021,Exits,Places,14.0
Local Authority,PLYMOUTH,2021,Net change,Places,-14.0
For-profit,PLYMOUTH,2018,Net change,Places,2.0
Local Authority,PLYMOUTH,2021,Net change,Children's homes,-3.0
For-profit,PLYMOUTH,2018,Entries,Places,2.0
Local Authority,PLYMOUTH,2021,Exits,Children's homes,3.0
For-profit,PLYMOUTH,2017,Entries,Places,6.0
For-profit,PLYMOUTH,2016,Entries,Places,2.0
For-profit,PLYMOUTH,2017,Net change,Children's homes,3.0
For-profit,PLYMOUTH,2019,Entries,Children's homes,2.0
For-profit,PLYMOUTH,2016,Entries,Children's homes,1.0
For-profit,PLYMOUTH,2017,Net change,Places,6.0
For-profit,PLYMOUTH,2019,Net change,Places,2.0
For-profit,PLYMOUTH,2019,Net change,Children's homes,2.0
For-profit,PLYMOUTH,2020,Entries,Places,5.0
For-profit,PLYMOUTH,2018,Entries,Children's homes,1.0
Third Sector,POOLE,2019,Net change,Places,-34.0
Third Sector,POOLE,2019,Net change,Children's homes,-3.0
Third Sector,POOLE,2019,Exits,Places,34.0
Third Sector,POOLE,2019,Exits,Children's homes,3.0
Local Authority,PORTSMOUTH,2016,Exits,Children's homes,2.0
Local Authority,PORTSMOUTH,2016,Entries,Children's homes,1.0
Local Authority,PORTSMOUTH,2016,Exits,Places,6.0
Local Authority,PORTSMOUTH,2016,Entries,Places,3.0
For-profit,READING,2016,Exits,Places,3.0
Local Authority,READING,2018,Exits,Places,12.0
Third Sector,READING,2018,Entries,Places,12.0
Local Authority,READING,2018,Net change,Children's homes,-4.0
For-profit,READING,2020,Entries,Places,7.0
For-profit,READING,2022,Entries,Children's homes,1.0
For-profit,READING,2022,Entries,Places,5.0
Third Sector,READING,2018,Net change,Children's homes,2.0
Local Authority,READING,2018,Net change,Places,-12.0
For-profit,READING,2020,Net change,Places,7.0
For-profit,READING,2020,Net change,Children's homes,1.0
Local Authority,READING,2018,Exits,Children's homes,4.0
For-profit,READING,2019,Net change,Places,5.0
For-profit,READING,2019,Net change,Children's homes,1.0
For-profit,READING,2020,Entries,Children's homes,1.0
For-profit,READING,2019,Entries,Children's homes,1.0
For-profit,READING,2022,Net change,Children's homes,1.0
For-profit,READING,2016,Exits,Children's homes,2.0
Third Sector,READING,2018,Net change,Places,12.0
Third Sector,READING,2018,Entries,Children's homes,2.0
For-profit,READING,2019,Entries,Places,5.0
For-profit,READING,2022,Net change,Places,5.0
For-profit,REDBRIDGE,2019,Entries,Children's homes,3.0
For-profit,REDBRIDGE,2022,Entries,Places,26.0
For-profit,REDBRIDGE,2020,Exits,Places,4.0
For-profit,REDBRIDGE,2021,Exits,Children's homes,4.0
Third Sector,REDBRIDGE,2018,Net change,Places,-4.0
For-profit,REDBRIDGE,2022,Net change,Places,24.0
For-profit,REDBRIDGE,2023,Net change,Places,4.0
Third Sector,REDBRIDGE,2020,Entries,Places,3.0
For-profit,REDBRIDGE,2020,Entries,Places,13.0
For-profit,REDBRIDGE,2018,Net change,Places,6.0
For-profit,REDBRIDGE,2022,Exits,Children's homes,1.0
For-profit,REDBRIDGE,2020,Entries,Children's homes,4.0
Third Sector,REDBRIDGE,2018,Net change,Children's homes,-2.0
For-profit,REDBRIDGE,2018,Net change,Children's homes,1.0
Third Sector,REDBRIDGE,2017,Exits,Children's homes,1.0
For-profit,REDBRIDGE,2023,Net change,Children's homes,1.0
Third Sector,REDBRIDGE,2018,Exits,Children's homes,2.0
For-profit,REDBRIDGE,2022,Net change,Children's homes,5.0
Third Sector,REDBRIDGE,2017,Exits,Places,4.0
For-profit,REDBRIDGE,2019,Entries,Places,18.0
For-profit,REDBRIDGE,2020,Exits,Children's homes,2.0
For-profit,REDBRIDGE,2023,Entries,Places,4.0
For-profit,REDBRIDGE,2021,Entries,Places,12.0
For-profit,REDBRIDGE,2021,Net change,Places,-2.0
For-profit,REDBRIDGE,2021,Exits,Places,14.0
For-profit,REDBRIDGE,2021,Net change,Children's homes,-2.0
For-profit,REDBRIDGE,2020,Net change,Children's homes,2.0
For-profit,REDBRIDGE,2023,Entries,Children's homes,1.0
For-profit,REDBRIDGE,2022,Entries,Children's homes,6.0
For-profit,REDBRIDGE,2022,Exits,Places,2.0
Third Sector,REDBRIDGE,2020,Net change,Children's homes,1.0
Third Sector,REDBRIDGE,2017,Net change,Places,-4.0
For-profit,REDBRIDGE,2018,Entries,Places,6.0
Third Sector,REDBRIDGE,2020,Net change,Places,3.0
For-profit,REDBRIDGE,2020,Net change,Places,9.0
For-profit,REDBRIDGE,2019,Net change,Children's homes,3.0
Third Sector,REDBRIDGE,2020,Entries,Children's homes,1.0
For-profit,REDBRIDGE,2019,Net change,Places,18.0
Third Sector,REDBRIDGE,2018,Exits,Places,4.0
For-profit,REDBRIDGE,2021,Entries,Children's homes,2.0
For-profit,REDBRIDGE,2018,Entries,Children's homes,1.0
Third Sector,REDBRIDGE,2017,Net change,Children's homes,-1.0
Local Authority,REDCAR AND CLEVELAND,2023,Entries,Children's homes,1.0
For-profit,REDCAR AND CLEVELAND,2021,Entries,Places,5.0
For-profit,REDCAR AND CLEVELAND,2021,Entries,Children's homes,1.0
For-profit,REDCAR AND CLEVELAND,2020,Entries,Places,9.0
Local Authority,REDCAR AND CLEVELAND,2023,Entries,Places,6.0
For-profit,REDCAR AND CLEVELAND,2021,Net change,Places,-1.0
For-profit,REDCAR AND CLEVELAND,2018,Net change,Places,5.0
For-profit,REDCAR AND CLEVELAND,2021,Exits,Children's homes,2.0
For-profit,REDCAR AND CLEVELAND,2018,Entries,Children's homes,2.0
For-profit,REDCAR AND CLEVELAND,2021,Net change,Children's homes,-1.0
For-profit,REDCAR AND CLEVELAND,2020,Entries,Children's homes,2.0
Local Authority,REDCAR AND CLEVELAND,2023,Net change,Places,6.0
For-profit,REDCAR AND CLEVELAND,2020,Net change,Places,9.0
Local Authority,REDCAR AND CLEVELAND,2023,Net change,Children's homes,1.0
For-profit,REDCAR AND CLEVELAND,2020,Net change,Children's homes,2.0
For-profit,REDCAR AND CLEVELAND,2021,Exits,Places,6.0
For-profit,REDCAR AND CLEVELAND,2018,Net change,Children's homes,2.0
For-profit,REDCAR AND CLEVELAND,2018,Entries,Places,5.0
For-profit,RICHMOND UPON THAMES,2021,Exits,Places,2.0
For-profit,RICHMOND UPON THAMES,2020,Entries,Places,5.0
For-profit,RICHMOND UPON THAMES,2020,Entries,Children's homes,1.0
For-profit,RICHMOND UPON THAMES,2020,Net change,Children's homes,1.0
For-profit,RICHMOND UPON THAMES,2020,Net change,Places,5.0
For-profit,RICHMOND UPON THAMES,2021,Net change,Children's homes,-1.0
Local Authority,RICHMOND UPON THAMES,2015,Exits,Children's homes,1.0
Local Authority,RICHMOND UPON THAMES,2015,Exits,Places,0.0
For-profit,RICHMOND UPON THAMES,2021,Exits,Children's homes,1.0
For-profit,RICHMOND UPON THAMES,2021,Net change,Places,-2.0
For-profit,ROCHDALE,2016,Entries,Places,2.0
